Aafrika	アフリカ
Miroslav Klose	ミロスラフ・クローゼ
Patna	パトナ
Gavrilo Princip	ガヴリロ・プリンツィプ
Nicolae Ceaușescu	ニコラエ・チャウシェスク
Alla Pugatšova	アーラ・プガチョワ
Julius II	ユリウス2世 (ローマ教皇)
India ruupia	インド・ルピー
MIDI	MIDI
Gondwana	ゴンドワナ大陸
Atrani	アトラーニ
Arthur Miller	アーサー・ミラー
Hyginus	ヒギヌス (ローマ教皇)
Anaximenes	アナクシメネス
Edvard Grieg	エドヴァルド・グリーグ
Hüdroelektrijaam	水力発電
Battipaglia	バッティパーリア
Haplogrupp	ハプログループ
Sekretär	秘書
Microsoft Access	Microsoft Access
Hispaania koloniaalimpeerium	スペイン帝国
Haplotüüp	ハプロタイプ
Alleel	対立遺伝子
Tenzing Norgay	テンジン・ノルゲイ
960. aastad	960年代
990. aastad	990年代
Dante Bonfim Costa Santos	ダンテ・ボンフィム・コスタ・サントス
890. aastad	890年代
1190. aastad	1190年代
1180. aastad	1180年代
Päikesekell	日時計
Sputnik 1	スプートニク1号
Jin Mao Tower	ジンマオタワー
Harry Potter ja Fööniksi ordu	ハリー・ポッターと不死鳥の騎士団
Anne Boleyn	アン・ブーリン
Mikrokiip	集積回路
Üleloomulik	超自然
Lingua franca	リングワ・フランカ
Sport Club Internacional	SCインテルナシオナル
Shanghai World Financial Center	上海環球金融中心
Adenosiintrifosfaat	アデノシン三リン酸
Gabriela Mistral	ガブリエラ・ミストラル
Pyongyangi metroo	平壌地下鉄
Azumanga Daioh	あずまんが大王
Tuumareaktor	原子炉
James Chadwick	ジェームズ・チャドウィック
Sigrid Undset	シグリ・ウンセット
Isco	フランシスコ・ロマン・アラルコン
Pearl S. Buck	パール・S・バック
Hidalgo osariik	イダルゴ州
Donald Glaser	ドナルド・グレーザー
Brian Kobilka	ブライアン・コビルカ
Campeche osariik	カンペチェ州
Robert Lefkowitz	ロバート・レフコウィッツ
Microsoft Outlook	Microsoft Outlook
Tabasco	タバスコ州
KGB	ソ連国家保安委員会
Tragöödia	悲劇
John Travolta	ジョン・トラボルタ
Naljapäev	エイプリルフール
Santos FC	サントスFC
Botafogo de Futebol e Regatas	ボタフォゴFR
Loomakasvatus	畜産
Sociedade Esportiva Palmeiras	SEパルメイラス
Cate Blanchett	ケイト・ブランシェット
Välis-Hebriidid	アウター・ヘブリディーズ
Nihilism	ニヒリズム
Hommikusöök	朝食
Prints Philip, Edinburghi hertsog	フィリップ (エディンバラ公)
Hewlett-Packard	ヒューレット・パッカード
Fès	フェズ
Giovanni dalle Bande Nere	ジョヴァンニ・デッレ・バンデ・ネーレ
Fluminense Football Club	フルミネンセFC
Caterina Sforza	カテリーナ・スフォルツァ
Täiskasvanu	大人
Tulemüür (informaatika)	ファイアーウォール
Richard II	リチャード2世 (イングランド王)
Retoorika	修辞学
Juudas Iskariot	イスカリオテのユダ
Sulg	羽毛
Monterrey	モンテレイ (メキシコ)
Veeringe	水循環
Charleroi	シャルルロワ
Sise-Hebriidid	インナー・ヘブリディーズ
Torm	嵐
Homöopaatia	ホメオパシー
ÜRO peasekretär	国際連合事務総長
Sainte-Laguë meetod	サン＝ラグ方式
Henri Poincaré	アンリ・ポアンカレ
Euroopa piison	ヨーロッパバイソン
Sturmpanzer I	I号自走重歩兵砲
Insener	技術者
Kahur	カノン砲
Karpkala	コイ
950. aastad	950年代
Mandžuuria	満州
Anders Celsius	アンデルス・セルシウス
Loodeväil	北西航路
Olomouc	オロモウツ
Uvs	ウヴス・ヌール
Polümeerid	重合体
Ipriit	マスタードガス
Baffini saar	バフィン島
Absoluutne nulltemperatuur	絶対零度
469 eKr	紀元前469年
Tuumafüüsika	原子核物理学
1020. aastad	1020年代
1060. aastad	1060年代
Pippin Lühike	ピピン3世
Kašelott	マッコウクジラ
Sándor Petőfi	ペテーフィ・シャーンドル
Michael Shanks	マイケル・シャンクス
Varaan	オオトカゲ科
Siemens	シーメンス
Assali järv	アッサル湖
Kohtumõistjate raamat	士師記
Briis	海陸風
Karl Popper	カール・ポパー
1210. aastad	1210年代
1350. aastad	1350年代
Ultra Jump	ウルトラジャンプ
2009. aasta Euroopa meistrivõistlused korvpallis	2009年バスケットボール男子欧州選手権
Rootsi lipp	スウェーデンの国旗
Aaker	エーカー
Euroopa Julgeoleku- ja Koostööorganisatsioon	欧州安全保障協力機構
Greenpeace	グリーンピース (NGO)
272 eKr	紀元前272年
Harrison Ford	ハリソン・フォード
1310. aastad	1310年代
1260. aastad	1260年代
1220. aastad	1220年代
1010. aastad	1010年代
Kümnendsüsteem	十進法
Fraktal	フラクタル
Varpajam	ワープ
Acapulco	アカプルコ
Alkeenid	アルケン
Internetiprotokollistik	インターネット・プロトコル・スイート
Noa	ノア (聖書)
Walt Whitman	ウォルト・ホイットマン
Salavat Julajev	サラヴァト・ユラーエフ
Aldous Huxley	オルダス・ハクスリー
Ongström	オングストローム
Miguel de Cervantese auhind	セルバンテス賞
15 cm sIG 33	15cm sIG33
Eesti lipp	エストニアの国旗
Leedu lipp	リトアニアの国旗
Levant	レバント
Türk Telekom Arena	トルコ・テレコム・アリーナ
Keldi meri	ケルト海
Charles I	チャールズ1世 (イングランド王)
Tsitrus	ミカン属
Pierce Brosnan	ピアース・ブロスナン
Andorra lipp	アンドラの国旗
Kimi ga yo	君が代
2011. aasta Liibüa kodusõda	2011年リビア内戦
Tazi jõgi	タズ川
Isamaaliit – Leedu Kristlikud Demokraadid	祖国同盟
Pascal	Pascal
Szeged	セゲド
Windsori dünastia	ウィンザー朝
Ida-Aafrika riftivöönd	大地溝帯
Al-‘Aqabah' laht	アカバ湾
Sixtus I	シクストゥス1世 (ローマ教皇)
Calvin Harris	カルヴィン・ハリス
Telesphorus	テレスフォルス (ローマ教皇)
Bell X-2	X-2 (航空機)
Kurd	褶曲
Elefant	エレファント重駆逐戦車
Akaatsia	アカシア
Arsenal	工廠
970. aastad	970年代
Parapähklipuu	ブラジルナッツ
Atentaat	暗殺
Austraalia lipp	オーストラリアの国旗
Lakk	ワニス
François Mauriac	フランソワ・モーリアック
Da Vinci kood	ダ・ヴィンチ・コード
314 eKr	紀元前314年
Eritrea riigipeade loend	エリトリアの大統領一覧
Petri tass	シャーレ
Charles Augustin de Coulomb	シャルル・ド・クーロン
Sileesia	シレジア
KwaZulu-Natal	クワズール・ナタール州
Murasaki Shikibu	紫式部
Makedoonia (Kreeka geograafiline piirkond)	マケドニア (ギリシャ)
Aastatuhande arengueesmärgid	ミレニアム開発目標
Maagia	魔術
Anton Bruckner	アントン・ブルックナー
Hérault	エロー川
1420. aastad	1420年代
Giza	ギーザ
Ehnaton	アメンホテプ4世
J. M. Barrie	ジェームス・マシュー・バリー
Kiirtoit	ファーストフード
Araba	アラバ県
Almería provints	アルメリア県
Badajozi provints	バダホス県
Õhurõhk	気圧
Must vihm	黒い雨 (小説)
Monica Bellucci	モニカ・ベルッチ
Röövik	ケムシ
Bastion	堡塁
Akita prefektuur	秋田県
Albinism	アルビノ
Karnivoor	肉食動物
Kahvel	フォーク (食器)
Santos	サントス
Amsterdami Ajax	アヤックス・アムステルダム
Ukraina grivna	フリヴニャ
Kalmaarilised	イカ
Royan	ロワイヤン
Allotroopia	同素体
Ségolène Royal	セゴレーヌ・ロワイヤル
Ameerika Riikide Konföderatsioon	アメリカ連合国
Valu	疼痛
Internetitelefon	VoIP
Barcelona provints	バルセロナ県
Türgi lipp	トルコの国旗
Berm	犬走り
Robert Burns	ロバート・バーンズ
General Motors	ゼネラルモーターズ
Ungari lipp	ハンガリーの国旗
Córdoba provints	コルドバ県
Cácerese provints	カセレス県
Cádizi provints	カディス県
Söögipulgad	箸
Klavessiin	チェンバロ
Gabriel	ガブリエル
Boulogne-sur-Mer	ブローニュ＝シュル＝メール
Jasmiin	ジャスミン
Kanchenjunga	カンチェンジュンガ
Villarrobledo	ビリャロブレド
Korvpall 2004. aasta suveolümpiamängudel	アテネオリンピック (2004年) におけるバスケットボール競技
Okaapi	オカピ
Sõnaliik	品詞
George Berkeley	ジョージ・バークリー
NASDAQ	NASDAQ
Şūr	ティルス
John Keats	ジョン・キーツ
Ian Fleming	イアン・フレミング
Steven Seagal	スティーヴン・セガール
México osariik	メヒコ州
A Coruña provints	ア・コルーニャ県
Jean-Baptiste de Lamarck	ジャン＝バティスト・ラマルク
Granada provints	グラナダ県 (スペイン)
ÜRO Toidu- ja Põllumajandusorganisatsioon	国際連合食糧農業機関
Brașov	ブラショヴ
Hatanga jõgi	ハタンガ川
Mata Hari	マタ・ハリ
Anabari jõgi	アナバル川
Brasiilia lipp	ブラジルの国旗
Hande Yener	ハンデ・エネル
Iirimaa lipp	アイルランドの国旗
Indigirka	インディギルカ川
Little Richard	リトル・リチャード
Aserbaidžaani lipp	アゼルバイジャンの国旗
Cliff Richard	クリフ・リチャード
John Galsworthy	ジョン・ゴールズワージー
920. aastad	920年代
Katalüüs	触媒
Strepsiriinsed primaadid	曲鼻猿亜目
1170. aastad	1170年代
980. aastad	980年代
1080. aastad	1080年代
Kuban	クバン川
1000. aastad	1000年代
Gene Vincent	ジーン・ヴィンセント
1300. aastad	1300年代
К	К
1330. aastad	1330年代
Chlodowech I	クロヴィス1世
Samuel Taylor Coleridge	サミュエル・テイラー・コールリッジ
Planetaarülekanne	遊星歯車機構
Taliolümpiamängud	冬季オリンピック
Naisekandmine	奥様運び
Brandenburgi värav	ブランデンブルク門
E (arv)	ネイピア数
Henri de Toulouse-Lautrec	アンリ・ド・トゥールーズ＝ロートレック
Dorian Gray portree	ドリアン・グレイの肖像
Settekivim	堆積岩
Elu entsüklopeedia	Encyclopedia of Life
Riiklik Biotehnoloogia Infokeskus	国立生物工学情報センター
Colin Kaepernick	コリン・キャパニック
Sankt Pölten	ザンクト・ペルテン
Sex Pistols	セックス・ピストルズ
Lämmastikuringe	窒素循環
П	П
Lineaaralgebra	線型代数学
Integrated Taxonomic Information System	ITIS
Hõõrdumine	摩擦
Leptonid	レプトン (素粒子)
Veelind	水鳥
Bundesliga	サッカー・ブンデスリーガ (ドイツ)
Tulemaa saared	ティエラ・デル・フエゴ
Disain	デザイン
Krakatau	クラカタウ
Interpunktsioon	句読点
И	И
Vererõhk	血圧
Takso	タクシー
Felipe Massa	フェリペ・マッサ
Kips	石膏
Iraani-Iraagi sõda	イラン・イラク戦争
Mark Webber	マーク・ウェバー
Fiesole	フィエーゾレ
Kaitsestaatus	保全状況
Mary I	メアリー1世 (イングランド女王)
Tlaxcala osariik	トラスカラ州
Jegor Gaidar	エゴール・ガイダル
Stadio San Paolo	スタディオ・サン・パオロ
Lõug	おとがい
Geiša	芸妓
Vaprad ja ilusad	ザ・ボールド・アンド・ザ・ビューティフル
Aineias	アイネイアース
Polaarrebane	ホッキョクギツネ
Romain Grosjean	ロマン・グロージャン
Skanner	イメージスキャナ
Fail	ファイル (コンピュータ)
1090. aastad	1090年代
Olsztyn	オルシュティン
Paul di Resta	ポール・ディ・レスタ
Kanji	日本における漢字
Tereki jõgi	テレク川
Plinius Vanem	ガイウス・プリニウス・セクンドゥス
Leslie Nielsen	レスリー・ニールセン
Regioon	地域
Kamui Kobayashi	小林可夢偉
Sergio Pérez	セルジオ・ペレス
Seniit	天頂
Akustika	音響学
Suhhona	スホナ川
Daniel Ricciardo	ダニエル・リチャルド
Pööre (raudtee)	分岐器
Traditsioon	伝統
Kuueteistkümnendarv	十六進法
Jean-Éric Vergne	ジャン＝エリック・ベルニュ
1380. aastad	1380年代
Alvar Aalto	アルヴァ・アールト
Pastor Maldonado	パストール・マルドナド
Sokotra	ソコトラ島
Bruno Senna	ブルーノ・セナ
Vinci (Itaalia)	ヴィンチ
Heikki Kovalainen	ヘイキ・コバライネン
Vitali Petrov	ヴィタリー・ペトロフ
Saparmyrat Nyýazow	サパルムラト・ニヤゾフ
Pedro de la Rosa	ペドロ・デ・ラ・ロサ
Joseph Conrad	ジョゼフ・コンラッド
Korallimeri	珊瑚海
Henri de Saint-Simon	アンリ・ド・サン＝シモン
Narain Karthikeyan	ナレイン・カーティケヤン
São Paulo kunstimuuseum	サンパウロ美術館
Katakana	片仮名
Poliitik	政治家
1240. aastad	1240年代
Charles Pic	シャルル・ピック
1290. aastad	1290年代
Hiina ajalugu	中国の歴史
Pierre de Coubertin	ピエール・ド・クーベルタン
Number	数字
Ruunid	ルーン文字
Melanie Klein	メラニー・クライン
Antonio Gramsci	アントニオ・グラムシ
David Villa	ダビド・ビジャ
Advent	アドベント
1450. aastad	1450年代
Gregorius XIII	グレゴリウス13世 (ローマ教皇)
Dementsus	認知症
Hüüdsõna	感動詞
Salvatore Quasimodo	サルヴァトーレ・クァジモド
Anaxagoras	アナクサゴラス
Neuroloogia	神経学
Kuusnurk	六角形
1110. aastad	1110年代
1160. aastad	1160年代
940. aastad	940年代
1250. aastad	1250年代
Barbarossa plaan	バルバロッサ作戦
Rämpspost	スパム (メール)
Saul Bellow	ソール・ベロー
Ngauruhoe	ナウルホエ山
Petronas Towers	ペトロナスツインタワー
Leicester	レスター
Timor	ティモール島
Sakarya provints	サカリヤ県
Downton Abbey	ダウントン・アビー 〜貴族とメイドと相続人〜
Nõukogude-Afganistani sõda	アフガニスタン紛争 (1978年-1989年)
Ränikivi	燧石
Avataara	アヴァターラ
Jana-Gana-Mana	ジャナ・ガナ・マナ
Taipei 101	台北101
São Gonçalo	サンゴンサロ (リオデジャネイロ州)
389 eKr	紀元前389年
Aafrika rahvaste karikavõistlused jalgpallis	アフリカネイションズカップ
Keemiline valem	化学式
Norra lipp	ノルウェーの国旗
Coulombi seadus	クーロンの法則
Jacques-Louis David	ジャック＝ルイ・ダヴィッド
Jean Cocteau	ジャン・コクトー
Clemens VII	クレメンス7世 (ローマ教皇)
Prometheus	プロメーテウス
Charlotte koob võrku 2: Wilburi suur seiklus	シャーロットのおくりもの ウィルバーの大ぼうけん
Aafrika Rahvuskongress	アフリカ民族会議
Briti Ida-India Kompanii	イギリス東インド会社
Hüdrosfäär	水圏
Aleksander II	アレクサンドル2世
Eugenio Montale	エウジェーニオ・モンターレ
Almere	アルメレ
Katus	屋根
Golgi kompleks	ゴルジ体
Jacinto Benavente	ハシント・ベナベンテ
Horisontaalne geeniülekanne	遺伝子の水平伝播
Romeo ja Julia	ロミオとジュリエット
Vitamiin B1	チアミン
Relativism	相対主義
Goiânia	ゴイアニア
Aedsalat	レタス
Antiaine	反物質
Pius I	ピウス1世 (ローマ教皇)
Mitteühinemisliikumine	非同盟
Kentaurid	ケンタウロス
Triumviraat	三頭政治
Ristsõnad	クロスワードパズル
Golani kõrgendikud	ゴラン高原
Fotoefekt	光電効果
Kandela	カンデラ
Kepleri seadused	ケプラーの法則
Mesosoikum	中生代
Asklepios	アスクレーピオス
Hastingsi lahing	ヘイスティングズの戦い
Edward VI	エドワード6世 (イングランド王)
Kiruna	キルナ
Jacques-Yves Cousteau	ジャック＝イヴ・クストー
Horatio Nelson	ホレーショ・ネルソン
Chamonix	シャモニー＝モン＝ブラン
Galilea	ガリラヤ
Braga	ブラガ
École normale supérieure	高等師範学校 (フランス)
Grand Theft Auto: San Andreas	グランド・セフト・オート・サンアンドレアス
Vuvuzela	ブブゼラ
Kuritegu	犯罪
Hard rock	ハードロック
Ibaraki prefektuur	茨城県
Aasia Jalgpalli Konföderatsioon	アジアサッカー連盟
Suurbritannia lipp	イギリスの国旗
Käsna-Kalle Kantpüks	スポンジ・ボブ
Durrës	ドゥラス
Jugoslaavia Föderatiivne Sotsialistlik Vabariik	ユーゴスラビア社会主義連邦共和国
