Աֆրիկա	アフリカ
Ավելացրած ժամանակ (սպորտ)	延長戦
Օֆորտ	エッチング
Շահրիկներ	ダルマエナガ科
Շացկ (քաղաք, Շացկի շրջան)	シャーツク
Սալլի Ֆիլդ	サリー・フィールド
Ճահճային կրիա	ヨーロッパヌマガメ
Բորաթթու	ホウ酸
Բոլոնյան հռչակագիր	ボローニャ・プロセス
Էդուարդ Ավագ	エドワード長兄王
Լոբբինգ	ロビー活動
Բալֆուրի հռչակագիր (1917)	バルフォア宣言
Տրավերտին	トラバーチン
Խորդի Ալբա	ジョルディ・アルバ
Դեյվ Մասթեյն	デイヴ・ムステイン
Անտոնեն Արտո	アントナン・アルトー
Մարիո Մանջուկիչ	マリオ・マンジュキッチ
Սինապս	シナプス
Ջո Հարտ	ジョー・ハート
Էրիկ Սատի	エリック・サティ
Նիկիայի Բ եկեղեցական ժողով	第2ニカイア公会議
Սիմպաթիկ նյարդային համակարգ	交感神経系
Բուստալճակ	ラグーン
Օգյուստեն Ֆրենել	オーギュスタン・ジャン・フレネル
Ալեքսանդր Կարելին	アレクサンドル・カレリン
Ռևմատոիդ արթրիտ	関節リウマチ
Գոնկուրյան մրցանակ	ゴンクール賞
Ջուզեպպե Մացցինի	ジュゼッペ・マッツィーニ
Կոնստանտինա	コンスタンティーヌ
Ռոբերտ Զեմեկիս	ロバート・ゼメキス
Պրեմիեր Լիգա 2007-08 (Անգլիա)	プレミアリーグ2007-2008
Դիորիտ	閃緑岩
Ֆերնանդո Գագո	フェルナンド・ガゴ
Եղնջացան	蕁麻疹
Էկոտուրիզմ	エコツーリズム
Վիքիքարտեզ	ウィキマピア
Փախլավա	バクラヴァ
Օնորե Դոմիե	オノレ・ドーミエ
Master of Puppets	メタル・マスター
Շառլ Պարզամիտ	シャルル3世 (西フランク王)
Մելանիններ	メラニン
Անդերլեխտ ՖԱ	RSCアンデルレヒト
Տոյոտոմի Հիդեյոսի	豊臣秀吉
Դասակարգային կառուցվածք	社会階級
Էմուլսիա	エマルション
1930-ականների բռնաճնշում	大粛清
Քաղցկեղածին	発癌性
Արտագաղթ	移住
Կիրխհոֆի կանոններ	キルヒホッフの法則 (電気回路)
Էպիրոսի բռնապետություն	エピロス専制侯国
Դիսերտացիա	論文
Ճահճակուղբեր	ヌートリア
Վիտամին B12	シアノコバラミン
Կորպուս յուրիս ցիվիլիս	ローマ法大全
Bohemian Rhapsody	ボヘミアン・ラプソディ
Օրանժ (Ֆրանսիա)	オランジュ
Անջատման գիծ	ダッシュ (記号)
Մոստոլես	モストレス
Խառատային հաստոցներ	旋盤
Սոն	ソーヌ川
Գրանդ-Օպերա	ガルニエ宮
Վոգեզներ	ヴォージュ山脈
Պիտբուլ (ռեփեր)	ピットブル (ラッパー)
Օպցիոն	オプション取引
Կունլուն	崑崙山脈
Պլովդիվի մարզ	プロヴディフ州
Պեպեններ	雀卵斑
Կերչի նեղուց	ケルチ海峡
Ֆեռնանդո Լյորենտե	フェルナンド・ジョレンテ
Minix	Minix
Ագորա	アゴラ
Ֆենոլֆթալեին	フェノールフタレイン
Պիտեշտ	ピテシュティ
Լեոն Ֆուկո	レオン・フーコー
Վադի (գյուղ, Ավինուռմե շրջան)	ワジ
Տիբեթցիներ	チベット系民族
Ծիածանախայտ	ニジマス
Ռագնար Ֆրիշ	ラグナル・フリッシュ
Հևոց	呼吸困難
Նիկ Նոլթի	ニック・ノルティ
Մարդին	マルディン
Մետրոպոլիտեն օպերա	メトロポリタン歌劇場
Ապոկալիպտո	アポカリプト
Ֆեոդ	レーエン
Յարվամաա	イェルヴァ県
Տոնգայի դրոշ	トンガの国旗
Վիրումաա	ヴォル県
Հոլովում	曲用
Լենգսթոն Հյուզ	ラングストン・ヒューズ
PhpMyAdmin	PhpMyAdmin
Ռոնալդ Քոուզ	ロナルド・コース
Ջեֆրի Ջեյկոբ Աբրամս	J・J・エイブラムス
Մոնրեալ Կանադիենս	モントリオール・カナディアンズ
Գորգան	ゴルガーン
Կուռեսաառե (քաղաք, Էստոնիա)	クレサーレ
Վեթեռն	ヴェッテルン湖
Բրիստոլի ծոց	ブリストル海峡
Քալմեն շրջան	カルマン郡 (アラバマ州)
Սռնի	軸 (機械要素)
Ինվարիանտ (մաթեմատիկա)	不変量
Վագրային շնաձուկ	イタチザメ
Սալվադորի ֆուտբոլի ազգային հավաքական	サッカーエルサルバドル代表
Հաջորդականություն (էկոլոգիա)	遷移 (生物学)
Կիբելա	キュベレー
Ֆեցցան	フェザーン
Նատրիումի ամիդ	ナトリウムアミド
Ինտերֆերոն	インターフェロン
Ռենվիլ շրջան (Մինեսոտա)	レンビル郡 (ミネソタ州)
Քրիստինա Էփլգեյթ	クリスティナ・アップルゲイト
Մոտետ	モテット
Ֆրից Ցերնիկե	フリッツ・ゼルニケ
Սանդերլենդ	サンダーランド (イングランド)
Բլեկբերն	ブラックバーン (イングランド)
Հյույգենս-Ֆրենելի սկզբունք	ホイヘンス＝フレネルの原理
Ադրբեջանի պատմություն	アゼルバイジャンの歴史
Ալկմեոն	クロトンのアルクマイオン
Լյուսի Լյու	ルーシー・リュー
Համիլտոն շրջան (Թենեսի)	ハミルトン郡 (テネシー州)
Սթայն Գերտրուդ	ガートルード・スタイン
Տաու (մասնիկ)	タウ粒子
Քվանտային քիմիա	量子化学
Նեյտրոֆիլային գրանուլոցիտներ	好中球
Կոպենհագեն (ֆուտբոլային ակումբ)	FCコペンハーゲン
Ռապունցել. Խճճված պատմություն	塔の上のラプンツェル
Դիֆերենցիալ երկրաչափություն	微分幾何学
Մալուխ	電線
Նյարդավիրաբուժություն	脳神経外科学
Յամահա	ヤマハ
Դենիել Ուելբեք	ダニー・ウェルベック
Կանոնական իրավունք	教会法
Արտաքսերքսես II	アルタクセルクセス2世
Մարտաֆիլմ	アクション映画
Մադագասկար 2	マダガスカル2
Լիմուզին	リムジン
Սամոայի դրոշ	サモアの国旗
Սեթ Մաքֆարլեյն	セス・マクファーレン
Ազենկուրի ճակատամարտ	アジャンクールの戦い
Առցանց բանկային գործ	インターネットバンキング
Բնակարան	アパート
Արվարձան	郊外
Եվրատեսիլ 1958 երգի մրցույթ	ユーロビジョン・ソング・コンテスト1958
Հորոսկոպ	ホロスコープ
Մարինա Ցվետաևա	マリーナ・ツヴェターエワ
Վարպետը և Մարգարիտան	巨匠とマルガリータ
Մասսիմո Ամբրոզինի	マッシモ・アンブロジーニ
Մակեդոնիայի ֆուտբոլի ազգային հավաքական	サッカーマケドニア共和国代表
Ֆելիքս Ձերժինսկի	フェリックス・ジェルジンスキー
Վինի Թուխ	クマのプーさん
Գանգագուշակություն	骨相学
Տոկամակ	トカマク型
Գծային ֆունկցիա	一次関数
Արոս (թռչուն)	ヒメノガン
Պուրաններ	プラーナ文献
Մազական երևույթներ	毛細管現象
Հունգարիայի վարչական բաժանում	ハンガリーの地方行政区画
Թոքերի լայնացում	肺気腫
Պալաուի դրոշ	パラオの国旗
Քյուի թագավորական բուսաբանական այգիներ	キューガーデン
Հիերարխիա	ヒエラルキー
Բոհեմ (օպերա)	ラ・ボエーム (プッチーニ)
Անակոնդաներ	アナコンダ
Ֆրանսուա Վիետ	フランソワ・ビエト
Մատյաշ Հունյադի	マーチャーシュ1世
Լուկանոս	マルクス・アンナエウス・ルカヌス
Լուսիտանիա	ルシタニア
Ռոկկի	ロッキー (映画)
Թոմ Յորք	トム・ヨーク
Օկուպացիա	占領
Վերջնագիր	最後通牒
Կիլաուելա	キラウエア火山
Վիճակագրական մեխանիկա	統計力学
Կամուրջ Քվայ գետի վրայով	戦場にかける橋
Իզոստազիա	アイソスタシー
Q.E.D.	Q.E.D.
Ոչ ստերոիդային հակաբորբոքային դեղամիջոցներ	非ステロイド性抗炎症薬
Կցագիր	合字
Գոմելի մարզ	ホメリ州
Նախանձ	妬み
Սոխուկ	球根
Հիմեձի ամրոց	姫路城
Իկոսաեդր	正二十面体
Judas (երգ)	ジューダス (レディー・ガガの曲)
Օկավանգո	オカヴァンゴ川
Նորվեգացիներ	ノルウェー人
Հարավային մարզ (Իսրայել)	南部地区 (イスラエル)
Մալթայի ֆուտբոլի ազգային հավաքական	サッカーマルタ代表
Սուպերհերոս	スーパーヒーロー
Կենտրոնական մարզ (Իսրայել)	中央地区 (イスラエル)
Չեմպիոնների Լիգա 2008-2009	UEFAチャンピオンズリーグ 2008-09
Ֆալաֆել	ファラフェル
Հարճ	側室
Կիտակյուսյու	北九州市
Շարժայի Էմիրություն	シャールジャ
Սերբ ուղղափառ եկեղեցի	セルビア正教会
Billboard 200	Billboard 200
Դեղաբույսեր	薬草
Աշխարհաքաղաքացիություն	コスモポリタニズム
Անձրևի մարդը	レインマン
Շրջակա միջավայրի պահպանություն	環境学
Ապագայաբանություն	未来学
Սովորական սերինոս	アトリ
Կղեմես Ալեքսանդրացի	アレクサンドリアのクレメンス
Ութանիստ	正八面体
Կոդ	符号
Քյոթահիա	キュタヒヤ
Խիտոններ	多板綱
Էթիկետ	マナー
Կիսում	細胞分裂
Կառնոյի ցիկլ	カルノーサイクル
Հյուգո մրցանակ	ヒューゴー賞
Իսրայելի ազգային գրադարան	イスラエル国立図書館
Գալերա (Գրանադա)	ガレー船
Եկատերինա Հովարդ	キャサリン・ハワード
Արթուր Էվանս	アーサー・エヴァンズ
Պրեմիեր Լիգա 2009-10 (Անգլիա)	プレミアリーグ2009-2010
Հարավային Բուգ	南ブーフ川
Բջջի կենսացիկլ	細胞周期
Յարոսլավ Իմաստուն	ヤロスラフ1世
Սևամեջք շնագայլ	セグロジャッカル
Երկբևեռ տրանզիստոր	バイポーラトランジスタ
Անամնեզ	病歴
Մեթյու Մակքոնահի	マシュー・マコノヒー
Եթովպիական շնագայլ	アビシニアジャッカル
Ջեյմս Նեյսմիթ	ジェームズ・ネイスミス
Բի Բի Քինգ	B.B.キング
Ժան Բատիստ Կոլբեր	ジャン＝バティスト・コルベール
Հաշմանդամների տուն (Փարիզ)	オテル・デ・ザンヴァリッド
Էրեբուս	エレバス山
Նյու Յորք Ռենջերս	ニューヨーク・レンジャース
Վոյցեխ Շեսնի	ヴォイチェフ・シュチェスニー
Ջոզեֆ Օսթին Չեմբեռլեն	オースティン・チェンバレン
Քոլեջ	カレッジ
Վաթեռլոո (այլ կիրառումներ)	ウォータールー
Նոտար	公証人
Ալեքսանդր Սոնգ	アレクサンドル・ソング
Թեփուղ	チャブ
Ռուջերո Լեոնկավալո	ルッジェーロ・レオンカヴァッロ
Չեռնոգորիայի ֆուտբոլի ազգային հավաքական	サッカーモンテネグロ代表
TED (համաժողովներ)	TED (カンファレンス)
Էթնոցենտրիզմ	エスノセントリズム
Միաձուլման տեսակավորում	マージソート
Հունական թատրոն	古代ギリシアの演劇
Հառլեմ (Նյու Յորք)	ハーレム (ニューヨーク市)
Xzibit	イグジビット
Ֆոսգեն	ホスゲン
Լ'Անս-օ-Մեդոուս	ランス・オ・メドー
Յան Մատեյկո	ヤン・マテイコ
Էդվարդ Մորգան Ֆորսթեր	E・M・フォースター
Բիոնիկա	生体工学
Արքիմեդի պարուրակ	アルキメディアン・スクリュー
Ֆեոդոր Շալյապին	フョードル・シャリアピン
Եթեր (դիցաբանություն)	アイテール
Չեմպիոնների Լիգա 2010-2011	UEFAチャンピオンズリーグ 2010-11
Ռաֆայել դա Սիլվա	ラファエウ・ペレイラ・ダ・シウヴァ
Ջոզեֆ Մակարտի	ジョセフ・マッカーシー
Իսլանդիայի ֆուտբոլի ազգային հավաքական	サッカーアイスランド代表
Կամերային երաժշտություն	重奏
Անախրոնիզմ	時代錯誤
Ներառուկ	小胞
Զելոս	ゼーロス
Ցանցի կիրառական ծրագիր	ウェブアプリケーション
Տեմպ (երաժշտություն)	テンポ
Ռոկֆոր (պանիր)	ロックフォール (チーズ)
